t,F(t)
6.7,-4.373337
6.72,-4.373337
6.74,-4.373337
6.76,-4.373337
6.78,-4.373337
6.8,-4.373337
6.82,-4.373337
6.84,-4.373337
6.86,-4.373337
6.88,-4.373337
6.9,-4.373337
6.92,-4.373337
6.94,-4.373337
6.96,-4.373337
6.98,-4.373337
7,-4.373337
7.02,-4.373337
7.04,-4.373337
7.06,-4.373337
7.08,-4.373337
7.1,-4.373337
7.12,-4.373337
7.14,-4.373337
7.16,-4.373337
7.18,-4.373337
7.2,-4.373337
7.22,-4.373337
7.24,-4.373337
7.26,-4.373337
7.28,-4.373337
7.3,-4.373337
7.32,-4.373337
7.34,-4.373337
7.36,-4.373337
7.38,-4.373337
7.4,-4.373337
7.42,-4.373337
7.44,-4.373337
7.46,-4.373337
7.48,-4.373337
7.5,-4.373337
7.52,-4.373337
7.54,-2.160529
7.56,-2.186669
7.58,-2.193561
7.6,-2.21143
7.62,-2.205151
7.64,-2.217819
7.66,-2.225535
7.68,-2.223079
7.7,-2.211467
7.72,-2.207766
7.74,-2.208007
7.76,-2.208285
7.78,-2.208333
7.8,-2.208283
7.82,-2.2082
7.84,-2.219188
7.86,-2.209342
7.88,-2.208376
7.9,-2.208121
7.92,-2.207703
7.94,-2.207492
7.96,-2.207359
7.98,-2.207221
8,-2.207104
8.02,-2.206986
8.04,-2.206865
8.059999,-2.206749
8.08,-2.206621
8.099999,-2.206503
8.12,-2.216045
8.139999,-2.196395
8.16,-2.191157
8.179999,-2.190035
8.2,-2.189763
8.22,-2.191552
8.24,-2.191754
8.26,-2.214012
8.28,-2.22451
8.3,-2.222363
8.32,-2.209434
8.34,-2.204808
8.36,-2.204094
8.38,-2.204271
8.4,-2.204337
8.42,-2.204365
8.44,-2.204404
8.46,-2.204419
8.48,-2.204446
8.5,-2.204653
8.52,-2.204995
8.54,-2.205293
8.559999,-2.217471
8.58,-2.209929
8.599999,-2.207772
8.62,-2.218619
8.639999,-2.210434
8.66,-2.207952
8.679999,-2.207106
8.7,-2.206912
8.72,-2.207004
8.74,-2.207052
8.76,-2.207104
8.78,-2.207154
8.8,-2.207202
8.82,-2.207248
8.84,-2.207287
8.86,-2.207321
8.88,-2.207355
8.9,-2.207367
8.92,-2.207425
8.94,-2.207594
8.96,-2.207877
8.98,-2.208199
9,-2.208518
9.02,-2.208731
9.04,-2.208784
9.059999,-2.208739
9.08,-2.208682
9.099999,-2.20847
9.12,-2.208394
9.139999,-2.208337
9.16,-2.208258
9.179999,-2.208169
9.2,-2.208097
9.22,-2.207958
9.24,-2.207829
9.26,-2.207709
9.28,-2.207577
9.3,-2.207433
9.32,-2.207306
9.34,-2.207158
9.36,-2.20704
9.38,-2.206906
9.4,-2.206799
9.42,-2.206666
9.44,-2.206539
9.46,-2.206418
9.48,-2.206321
9.5,-2.216219
9.52,-2.219242
9.54,-2.206134
9.559999,-2.216472
9.58,-2.219665
9.599999,-2.207441
9.62,-2.216583
9.639999,-2.219707
9.66,-2.220664
9.679999,-2.22084
9.7,-2.225197
9.719999,-2.221708
9.74,-2.22115
9.76,-2.225295
9.78,-2.208749
9.8,-2.21685
9.82,-2.208036
9.84,-2.216645
9.86,-2.220326
9.88,-2.225332
9.9,-2.222304
9.92,-2.225899
9.94,-2.222977
9.96,-2.226096
9.98,-2.223591
10,-2.226273
10.02,-2.224195
10.04,-2.226441
10.06,-2.224772
10.08,-2.226612
10.1,-2.225327
10.12,-2.209925
10.14,-2.204003
10.16,-2.203423
10.18,-2.203609
10.2,-2.204154
10.22,-2.204733
10.24,-2.205315
10.26,-2.205907
10.28,-2.218026
10.3,-2.210223
10.32,-2.219536
10.34,-2.226078
10.36,-2.227845
10.38,-2.212669
10.4,-2.221311
10.42,-2.21172
10.44,-2.221516
10.46,-2.212051
10.48,-2.222346
10.5,-2.212668
10.52,-2.222983
10.54,-2.213139
10.56,-2.223471
10.58,-2.213426
10.6,-2.223732
10.62,-2.2136
10.64,-2.223794
10.66,-2.213483
10.68,-2.223726
10.7,-2.213157
10.72,-2.214235
10.74,-2.212791
10.76,-2.212791
10.78,-2.21236
10.8,-2.212114
10.82,-2.211785
10.84,-2.211462
10.86,-2.217057
10.88,-2.220162
10.9,-2.221042
10.92,-2.221262
10.94,-2.22133
10.96,-2.221352
10.98,-2.221336
11,-2.221352
11.02,-2.221352
11.04,-2.221336
11.06,-2.221352
11.08,-2.221352
11.1,-2.221336
11.12,-2.221352
11.14,-2.221352
11.16,-2.221336
11.18,-2.221352
11.2,-2.221352
11.22,-2.221336
11.24,-2.221352
11.26,-2.221352
11.28,-2.221336
11.3,-2.221352
11.32,-2.221352
11.34,-2.221336
11.36,-2.221352
11.38,-2.221352
11.4,-2.221336
11.42,-2.221352
11.44,-2.221352
11.46,-2.221336
11.48,-2.221352
11.5,-2.221352
11.52,-2.221336
11.54,-2.221352
11.56,-2.221352
11.58,-2.221336
11.6,-2.221352
11.62,-2.221352
11.64,-2.221336
11.66,-2.221352
11.68,-2.221352
11.7,-2.221336
11.72,-2.221352
11.74,-2.221352
11.76,-2.221336
11.78,-2.221352
11.8,-2.221352
11.82,-2.221336
11.84,-2.221352
11.86,-2.221352
11.88,-2.221336
11.9,-2.221352
11.92,-2.221352
11.94,-2.221336
11.96,-2.221352
11.98,-2.221352
12,-2.221336
12.02,-2.221352
12.04,-2.221352
12.06,-2.221336
12.08,-2.221352
12.1,-2.221352
12.12,-2.221336
12.14,-2.221352
12.16,-2.221352
12.18,-2.221336
12.2,-2.221352
12.22,-2.221352
12.24,-2.221336
12.26,-2.221352
12.28,-2.221352
12.3,-2.221336
12.32,-2.221352
12.34,-2.221352
12.36,-2.221336
12.38,-2.221352
12.4,-2.221352
12.42,-2.221336
12.44,-2.221352
12.46,-2.221352
12.48,-2.221336
12.5,-2.221352
12.52,-2.221352
12.54,-2.221336
12.56,-2.221352
12.58,-2.221352
12.6,-2.221336
