t,x(t),v(t),F(t) (added)
12.7001,1.984783,-0.2272004,-198.4783
12.7201,1.979445,-0.266896,-197.9445
12.7401,1.973315,-0.3064849,-197.3315
12.7601,1.966396,-0.3459512,-196.6396
12.7801,1.95869,-0.3852791,-195.869
12.8001,1.950201,-0.4244529,-195.0201
12.8201,1.940932,-0.463457,-194.0932
12.8401,1.930887,-0.5022756,-193.0887
12.8601,1.920069,-0.5408933,-192.0069
12.88011,1.908483,-0.5792947,-190.8483
12.90011,1.896134,-0.6174644,-189.6134
12.92011,1.883026,-0.655387,-188.3026
12.94011,1.869165,-0.6930476,-186.9165
12.96011,1.854556,-0.7304309,-185.4556
12.98011,1.839206,-0.767522,-183.9206
13.00011,1.82312,-0.8043061,-182.312
13.02011,1.806304,-0.8407685,-180.6304
13.04011,1.788766,-0.8768946,-178.8766
13.06011,1.770513,-0.9126699,-177.0513
13.08011,1.751551,-0.9480802,-175.1551
13.10011,1.731889,-0.9831112,-173.1889
13.12011,1.711534,-1.017749,-171.1534
13.14011,1.690495,-1.05198,-169.0495
13.16011,1.668779,-1.08579,-166.8779
13.18011,1.646395,-1.119165,-164.6395
13.20011,1.623354,-1.152093,-162.3354
13.22011,1.599662,-1.18456,-159.9662
13.24011,1.575331,-1.216553,-157.5331
13.26011,1.55037,-1.24806,-155.037
13.28011,1.524789,-1.279067,-152.4789
13.30011,1.498598,-1.309563,-149.8598
13.32012,1.471807,-1.339535,-147.1807
13.34012,1.444427,-1.368971,-144.4427
13.36012,1.41647,-1.39786,-141.647
13.38012,1.387946,-1.426189,-138.7946
13.40012,1.358867,-1.453948,-135.8867
13.42012,1.329245,-1.481125,-132.9245
13.44012,1.299091,-1.50771,-129.9091
13.46012,1.268417,-1.533692,-126.8417
13.48012,1.237236,-1.55906,-123.7236
13.50012,1.205559,-1.583805,-120.5559
13.52012,1.173401,-1.607916,-117.3401
13.54012,1.140773,-1.631384,-114.0773
13.56012,1.107689,-1.6542,-110.7689
13.58012,1.074162,-1.676354,-107.4162
13.60012,1.040206,-1.697837,-104.0206
13.62012,1.005833,-1.718641,-100.5833
13.64012,0.9710577,-1.738758,-97.10577
13.66012,0.9358941,-1.758179,-93.58941
13.68012,0.9003561,-1.776897,-90.03561
13.70012,0.864458,-1.794904,-86.4458
13.72012,0.8282142,-1.812193,-82.82142
13.74012,0.791639,-1.828757,-79.1639
13.76013,0.7547472,-1.84459,-75.47472
13.78013,0.7175535,-1.859685,-71.75535
13.80013,0.6800728,-1.874036,-68.00728
13.82013,0.64232,-1.887637,-64.232
13.84013,0.6043103,-1.900484,-60.43103
13.86013,0.5660589,-1.91257,-56.60589
13.88013,0.5275811,-1.923891,-52.75811
13.90013,0.4888923,-1.934443,-48.88923
13.92013,0.4500079,-1.944221,-45.00079
13.94013,0.4109434,-1.953221,-41.09435
13.96013,0.3717147,-1.96144,-37.17147
13.98013,0.3323372,-1.968874,-33.23372
14.00013,0.2928268,-1.975521,-29.28268
14.02013,0.2531992,-1.981377,-25.31992
14.04013,0.2134704,-1.986441,-21.34704
14.06013,0.1736562,-1.99071,-17.36562
14.08013,0.1337725,-1.994184,-13.37725
14.10013,0.09383534,-1.996859,-9.383533
14.12013,0.05386062,-1.998736,-5.386062
14.14013,0.01386436,-1.999813,-1.386436
14.16013,-0.02613744,-2.00009,2.613744
14.18013,-0.06612879,-1.999568,6.612879
14.20014,-0.1060937,-1.998245,10.60937
14.22014,-0.1460162,-1.996123,14.60161
14.24014,-0.1858802,-1.993203,18.58802
14.26014,-0.2256699,-1.989485,22.56699
14.28014,-0.2653694,-1.984972,26.53694
14.30014,-0.3049626,-1.979664,30.49626
14.32014,-0.3444339,-1.973565,34.44339
14.34014,-0.3837675,-1.966676,38.37675
14.36014,-0.4229475,-1.959001,42.29475
14.38014,-0.4619583,-1.950542,46.19583
14.40014,-0.5007844,-1.941303,50.07844
14.42014,-0.5394101,-1.931287,53.94101
14.44014,-0.5778201,-1.920499,57.78201
14.46014,-0.615999,-1.908943,61.5999
14.48014,-0.6539314,-1.896623,65.39314
14.50014,-0.6916023,-1.883544,69.16023
14.52014,-0.7289966,-1.869712,72.89966
14.54014,-0.7660992,-1.855132,76.60992
14.56014,-0.8028954,-1.83981,80.28954
14.58014,-0.8393705,-1.823752,83.93705
14.60014,-0.8755098,-1.806965,87.55098
14.62014,-0.9112989,-1.789455,91.12989
14.64015,-0.9467235,-1.771229,94.67235
14.66015,-0.9817693,-1.752294,98.17693
14.68015,-1.016423,-1.732659,101.6423
14.70015,-1.050669,-1.71233,105.0669
14.72015,-1.084495,-1.691317,108.4495
14.74015,-1.117888,-1.669627,111.7888
14.76015,-1.150833,-1.647269,115.0833
14.78015,-1.183318,-1.624253,118.3318
14.80015,-1.21533,-1.600586,121.533
14.82015,-1.246856,-1.57628,124.6856
14.84015,-1.277883,-1.551343,127.7883
14.86015,-1.308398,-1.525785,130.8398
14.88015,-1.338391,-1.499617,133.8391
14.90015,-1.367848,-1.472849,136.7848
14.92015,-1.396757,-1.445492,139.6757
14.94015,-1.425109,-1.417557,142.5108
14.96015,-1.45289,-1.389055,145.289
14.98015,-1.48009,-1.359997,148.009
15.00015,-1.506698,-1.330395,150.6698
15.02015,-1.532703,-1.300261,153.2703
15.04015,-1.558095,-1.269607,155.8095
15.06015,-1.582864,-1.238445,158.2864
15.08016,-1.607,-1.206788,160.7
15.10016,-1.630493,-1.174648,163.0493
15.12016,-1.653333,-1.142038,165.3333
15.14016,-1.675513,-1.108972,167.5513
15.16016,-1.697022,-1.075461,169.7022
15.18016,-1.717852,-1.041521,171.7852
15.20016,-1.737996,-1.007164,173.7996
15.22016,-1.757444,-0.9724039,175.7444
15.24016,-1.776189,-0.9372551,177.6189
15.26016,-1.794223,-0.9017313,179.4223
15.28016,-1.81154,-0.8658469,181.154
15.30016,-1.828133,-0.8296161,182.8132
15.32016,-1.843994,-0.7930534,184.3994
15.34016,-1.859117,-0.7561736,185.9117
15.36016,-1.873497,-0.7189912,187.3497
15.38016,-1.887127,-0.6815213,188.7127
15.40016,-1.900003,-0.6437787,190.0003
15.42016,-1.912118,-0.6057787,191.2118
15.44016,-1.923469,-0.5675364,192.3469
15.46016,-1.934051,-0.529067,193.4051
15.48016,-1.943858,-0.490386,194.3858
15.50016,-1.952888,-0.4515088,195.2888
15.52017,-1.961138,-0.4124511,196.1138
15.54017,-1.968602,-0.3732283,196.8602
15.56017,-1.975279,-0.3338563,197.5279
15.58017,-1.981166,-0.2943507,198.1166
15.60017,-1.986261,-0.2547274,198.6261
15.62017,-1.990561,-0.2150022,199.0561
15.64017,-1.994065,-0.175191,199.4065
15.66017,-1.996771,-0.1353097,199.6771
15.68017,-1.998678,-0.09537426,199.8678
15.70017,-1.999786,-0.05540069,199.9786
15.72017,-2.000094,-0.01540497,200.0094
15.74017,-1.999602,0.02459692,199.9603
15.76017,-1.998311,0.06458896,199.8311
15.78017,-1.99622,0.1045552,199.622
15.80017,-1.99333,0.1444796,199.333
15.82017,-1.989643,0.1843462,198.9643
15.84017,-1.98516,0.224139,198.516
15.86017,-1.979884,0.2638422,197.9884
15.88017,-1.973815,0.3034399,197.3815
15.90017,-1.966956,0.3429162,196.6956
15.92017,-1.959311,0.3822553,195.9311
15.94018,-1.950882,0.4214415,195.0882
15.96018,-1.941673,0.4604592,194.1673
15.98018,-1.931687,0.4992926,193.1687
16.00018,-1.920929,0.5379264,192.0929
16.02018,-1.909402,0.576345,190.9402
16.04018,-1.897111,0.614533,189.7111
16.06018,-1.884062,0.6524752,188.4062
16.08018,-1.870259,0.6901565,187.0259
16.10018,-1.855707,0.7275617,185.5707
16.12018,-1.840414,0.7646758,184.0414
16.14018,-1.824384,0.801484,182.4384
16.16018,-1.807625,0.8379717,180.7625
16.18018,-1.790142,0.8741242,179.0142
16.20018,-1.771944,0.9099271,177.1944
16.22018,-1.753036,0.945366,175.3036
16.24018,-1.733428,0.9804267,173.3428
16.26018,-1.713126,1.015095,171.3126
16.28018,-1.692139,1.049358,169.2139
16.30018,-1.670475,1.083201,167.0475
16.32018,-1.648143,1.11661,164.8143
16.34018,-1.625151,1.149573,162.5151
16.36018,-1.60151,1.182076,160.151
16.38018,-1.577228,1.214106,157.7228
16.40018,-1.552315,1.245651,155.2315
16.42019,-1.526781,1.276697,152.6781
16.44019,-1.500636,1.307232,150.0636
16.46019,-1.473891,1.337245,147.3891
16.48019,-1.446557,1.366723,144.6557
16.50019,-1.418644,1.395654,141.8644
16.52019,-1.390163,1.424027,139.0163
16.54019,-1.361127,1.45183,136.1127
16.56019,-1.331545,1.479053,133.1545
16.58019,-1.301432,1.505684,130.1432
16.60019,-1.270797,1.531712,127.0798
16.62019,-1.239655,1.557128,123.9655
16.64019,-1.208017,1.581921,120.8017
16.66019,-1.175895,1.606082,117.5895
16.68019,-1.143303,1.6296,114.3303
16.70019,-1.110254,1.652466,111.0254
16.72019,-1.07676,1.674671,107.676
16.74019,-1.042836,1.696206,104.2836
16.76019,-1.008495,1.717063,100.8495
16.78019,-0.9737502,1.737233,97.37502
16.80019,-0.9386161,1.756708,93.86161
16.82019,-0.9031065,1.77548,90.31065
16.84019,-0.8672357,1.793542,86.72356
16.8602,-0.8310179,1.810887,83.10179
16.8802,-0.7944677,1.827507,79.44678
16.9002,-0.7575998,1.843397,75.75998
16.9202,-0.7204289,1.858549,72.04288
16.9402,-0.6829697,1.872957,68.29697
16.9602,-0.6452374,1.886616,64.52374
16.9802,-0.607247,1.899521,60.7247
17.0002,-0.5690137,1.911666,56.90137
17.0202,-0.5305527,1.923046,53.05527
17.0402,-0.4918796,1.933658,49.18796
17.0602,-0.4530097,1.943495,45.30097
17.0802,-0.4139585,1.952555,41.39585
17.1002,-0.3747419,1.960835,37.47419
17.1202,-0.3353753,1.968329,33.53753
17.1402,-0.2958745,1.975037,29.58745
17.1602,-0.2562554,1.980954,25.62555
17.1802,-0.2165339,1.98608,21.65339
17.2002,-0.1767257,1.99041,17.67257
17.2202,-0.1368468,1.993945,13.68468
17.2402,-0.09691313,1.996682,9.691313
17.2602,-0.05694073,1.99862,5.694073
17.2802,-0.01694556,1.999759,1.694556
17.30021,0.0230564,2.000098,-2.30564
17.32021,0.06304912,1.999636,-6.304912
17.34021,0.1030166,1.998375,-10.30166
17.36021,0.1429429,1.996315,-14.29429
17.38021,0.1828121,1.993456,-18.28121
17.40021,0.2226081,1.9898,-22.26081
17.42021,0.262315,1.985348,-26.2315
17.44021,0.301917,1.980102,-30.1917
17.46021,0.3413983,1.974063,-34.13983
17.48021,0.380743,1.967235,-38.0743
17.50021,0.4199354,1.95962,-41.99354
17.52021,0.4589598,1.951222,-45.89598
17.54021,0.4978007,1.942043,-49.78007
17.56021,0.5364425,1.932087,-53.64425
17.58021,0.5748696,1.921358,-57.48696
17.60021,0.6130669,1.90986,-61.30669
17.62021,0.6510189,1.897599,-65.10188
17.64021,0.6887105,1.884579,-68.87105
17.66021,0.7261266,1.870804,-72.61266
17.68021,0.7632522,1.856282,-76.32522
17.70021,0.8000726,1.841017,-80.00726
17.72021,0.8365729,1.825015,-83.65729
17.74022,0.8727385,1.808284,-87.27386
17.76022,0.9085552,1.790829,-90.85551
17.78022,0.9440083,1.772658,-94.40083
17.80022,0.9790838,1.753778,-97.90839
17.82022,1.013768,1.734196,-101.3768
17.84022,1.048046,1.713921,-104.8046
17.86022,1.081905,1.69296,-108.1905
17.88022,1.115332,1.671322,-111.5332
17.90022,1.148312,1.649015,-114.8312
17.92022,1.180833,1.626049,-118.0833
17.94022,1.212882,1.602432,-121.2882
17.96022,1.244445,1.578175,-124.4445
17.98022,1.275511,1.553286,-127.5511
18.00022,1.306067,1.527776,-130.6067
18.02022,1.3361,1.501654,-133.61
18.04022,1.365598,1.474932,-136.5598
18.06022,1.394551,1.44762,-139.4551
18.08022,1.422945,1.419729,-142.2945
18.10022,1.450771,1.39127,-145.0771
18.12022,1.478016,1.362255,-147.8016
18.14022,1.50467,1.332695,-150.4669
18.16022,1.530722,1.302601,-153.0722
18.18023,1.556161,1.271987,-155.6161
18.20023,1.580979,1.240863,-158.0979
18.22023,1.605163,1.209244,-160.5163
18.24023,1.628706,1.177141,-162.8706
18.26023,1.651597,1.144567,-165.1597
18.28023,1.673828,1.111535,-167.3828
18.30023,1.695389,1.078058,-169.5389
18.32023,1.716272,1.04415,-171.6272
18.34023,1.736469,1.009825,-173.6469
18.36023,1.755971,0.9750954,-175.5971
18.38023,1.77477,0.939976,-177.477
18.40023,1.79286,0.9044806,-179.286
18.42023,1.810232,0.8686234,-181.0232
18.44023,1.826881,0.8324187,-182.6881
18.46023,1.842798,0.7958812,-184.2798
18.48023,1.857979,0.7590252,-185.7979
18.50023,1.872416,0.7218657,-187.2416
18.52023,1.886104,0.6844173,-188.6104
18.54023,1.899038,0.6466952,-189.9038
18.56023,1.911213,0.6087145,-191.1213
18.58023,1.922622,0.5704902,-192.2622
18.60023,1.933263,0.5320378,-193.3263
18.62024,1.94313,0.4933725,-194.313
18.64024,1.952221,0.4545099,-195.2221
18.66024,1.96053,0.4154655,-196.053
18.68024,1.968055,0.3762549,-196.8055
18.70024,1.974793,0.3368938,-197.4793
18.72024,1.980741,0.297398,-198.0741
18.74024,1.985897,0.2577831,-198.5897
18.76024,1.990258,0.2180652,-199.0258
18.78024,1.993823,0.1782601,-199.3823
18.80024,1.996591,0.1383836,-199.6591
18.82024,1.99856,0.09845178,-199.856
18.84024,1.999729,0.05848058,-199.9729
18.86024,2.000099,0.018486,-200.0099
18.88024,1.999669,-0.02151598,-199.9669
18.90024,1.998438,-0.06150935,-199.8438
18.92024,1.996409,-0.1014781,-199.6409
18.94024,1.993581,-0.1414063,-199.3581
18.96024,1.989955,-0.1812779,-198.9955
18.98024,1.985534,-0.221077,-198.5534
19.00024,1.980318,-0.2607877,-198.0318
19.02024,1.97431,-0.300394,-197.431
19.04025,1.967512,-0.3398802,-196.7512
19.06025,1.959928,-0.3792305,-195.9928
19.08025,1.951559,-0.418429,-195.1559
19.10025,1.94241,-0.4574602,-194.241
19.12025,1.932484,-0.4963084,-193.2484
19.14025,1.921785,-0.5349581,-192.1785
19.16025,1.910317,-0.5733938,-191.0317
19.18025,1.898085,-0.6116001,-189.8085
19.20025,1.885094,-0.6495618,-188.5094
19.22025,1.871348,-0.6872636,-187.1348
19.24025,1.856854,-0.7246906,-185.6854
19.26025,1.841618,-0.7618276,-184.1618
19.28025,1.825645,-0.79866,-182.5645
19.30025,1.808941,-0.8351729,-180.8941
19.32025,1.791514,-0.8713517,-179.1514
19.34025,1.773371,-0.907182,-177.3371
19.36025,1.754518,-0.9426494,-175.4518
19.38025,1.734963,-0.9777397,-173.4963
19.40025,1.714714,-1.012439,-171.4714
19.42025,1.693779,-1.046733,-169.3779
19.44025,1.672167,-1.080609,-167.2167
19.46025,1.649886,-1.114052,-164.9886
19.48026,1.626945,-1.14705,-162.6945
19.50026,1.603353,-1.179589,-160.3353
19.52026,1.57912,-1.211656,-157.912
19.54026,1.554255,-1.243238,-155.4255
19.56026,1.528769,-1.274323,-152.8769
19.58026,1.502671,-1.304899,-150.2671
19.60026,1.475972,-1.334952,-147.5972
19.62026,1.448682,-1.364471,-144.8682
19.64026,1.420814,-1.393445,-142.0814
19.66026,1.392376,-1.421861,-139.2376
19.68026,1.363382,-1.449709,-136.3382
19.70026,1.333843,-1.476977,-133.3842
19.72026,1.303769,-1.503654,-130.377
19.74026,1.273175,-1.529729,-127.3175
19.76026,1.242071,-1.555192,-124.2071
19.78026,1.21047,-1.580034,-121.047
19.80026,1.178385,-1.604243,-117.8385
19.82026,1.145829,-1.627811,-114.5829
19.84026,1.112815,-1.650727,-111.2815
19.86026,1.079355,-1.672984,-107.9355
19.88026,1.045464,-1.694571,-104.5464
19.90026,1.011154,-1.71548,-101.1154
19.92027,0.97644,-1.735703,-97.644
19.94027,0.9413354,-1.755232,-94.13354
19.96027,0.9058542,-1.774059,-90.58542
19.98027,0.8700107,-1.792176,-87.00108
20.00027,0.8338192,-1.809576,-83.38192
