t,z(t),v(t),F(t) (added)
5.179996,-0.8219448,-1.676774,82.19448
5.199996,-0.8551515,-1.660335,85.51514
5.219996,-0.8880161,-1.643232,88.80161
5.239996,-0.9205256,-1.625472,92.05255
5.259996,-0.9526668,-1.607061,95.26668
5.279996,-0.9844269,-1.588008,98.44269
5.299996,-1.015793,-1.56832,101.5793
5.319996,-1.046753,-1.548004,104.6753
5.339996,-1.077295,-1.527069,107.7295
5.359996,-1.107405,-1.505523,110.7405
5.379996,-1.137073,-1.483375,113.7073
5.399996,-1.166286,-1.460633,116.6286
5.419996,-1.195032,-1.437307,119.5032
5.439996,-1.2233,-1.413407,122.33
5.459996,-1.251079,-1.388941,125.1079
5.479996,-1.278357,-1.363919,127.8357
5.499996,-1.305124,-1.338352,130.5124
5.519996,-1.331369,-1.31225,133.1369
5.539996,-1.357082,-1.285622,135.7082
5.559996,-1.382251,-1.258481,138.2251
5.579996,-1.406868,-1.230836,140.6868
5.599996,-1.430922,-1.202698,143.0922
5.619996,-1.454403,-1.17408,145.4403
5.639996,-1.477303,-1.144992,147.7303
5.659996,-1.499612,-1.115446,149.9612
5.679996,-1.521321,-1.085454,152.1321
5.699996,-1.542422,-1.055027,154.2422
5.719995,-1.562905,-1.024179,156.2905
5.739995,-1.582764,-0.9929206,158.2764
5.759995,-1.601989,-0.9612654,160.1989
5.779995,-1.620574,-0.9292256,162.0574
5.799995,-1.63851,-0.8968142,163.851
5.819995,-1.655791,-0.864044,165.5791
5.839995,-1.672409,-0.8309281,167.2409
5.859995,-1.688359,-0.79748,168.8359
5.879995,-1.703633,-0.7637128,170.3633
5.899995,-1.718226,-0.7296402,171.8226
5.919995,-1.732132,-0.6952757,173.2132
5.939995,-1.745344,-0.660633,174.5344
5.959995,-1.757859,-0.6257262,175.7859
5.979995,-1.76967,-0.590569,176.967
5.999995,-1.780774,-0.5551756,178.0774
6.019995,-1.791165,-0.5195602,179.1165
6.039995,-1.80084,-0.4837369,180.084
6.059995,-1.809794,-0.4477201,180.9794
6.079995,-1.818025,-0.4115242,181.8024
6.099995,-1.825528,-0.3751637,182.5528
6.119995,-1.832301,-0.3386532,183.2301
6.139995,-1.838341,-0.3020072,183.8341
6.159995,-1.843646,-0.2652403,184.3646
6.179995,-1.848213,-0.2283674,184.8213
6.199995,-1.852041,-0.1914032,185.2041
6.219995,-1.855129,-0.1543624,185.5128
6.239995,-1.857474,-0.1172598,185.7474
6.259995,-1.859076,-0.0801103,185.9076
6.279995,-1.859934,-0.04292877,185.9934
6.299995,-1.860049,-0.005730083,186.0049
6.319995,-1.85942,0.0314709,185.942
6.339995,-1.858046,0.0686593,185.8046
6.359995,-1.85593,0.1058202,185.593
