t,v(t)
8.88,-1.103677
8.9,-1.103684
8.92,-1.103712
8.94,-1.103797
8.96,-1.103938
8.98,-1.1041
9,-1.104259
9.02,-1.104366
9.04,-1.104392
9.059999,-1.104369
9.08,-1.104341
9.099999,-1.104235
9.12,-1.104197
9.139999,-1.104169
9.16,-1.104129
9.179999,-1.104085
9.2,-1.104048
9.22,-1.103979
9.24,-1.103915
9.26,-1.103855
9.28,-1.103789
9.3,-1.103716
9.32,-1.103653
9.34,-1.103579
9.36,-1.10352
9.38,-1.103453
9.4,-1.1034
9.42,-1.103333
9.44,-1.103269
9.46,-1.103209
9.48,-1.10316
9.5,-1.10811
9.52,-1.109621
9.54,-1.103067
9.559999,-1.108236
9.58,-1.109833
9.599999,-1.103721
9.62,-1.108292
9.639999,-1.109853
9.66,-1.110332
9.679999,-1.11042
9.7,-1.112599
9.719999,-1.110854
9.74,-1.110575
9.76,-1.112647
9.78,-1.104375
9.8,-1.108425
9.82,-1.104018
9.84,-1.108323
9.86,-1.110163
9.88,-1.112666
9.9,-1.111152
9.92,-1.112949
9.94,-1.111489
9.96,-1.113048
9.98,-1.111796
10,-1.113137
10.02,-1.112097
10.04,-1.113221
10.06,-1.112386
10.08,-1.113306
10.1,-1.112664
10.12,-1.104963
10.14,-1.102002
10.16,-1.101711
10.18,-1.101804
10.2,-1.102077
10.22,-1.102367
10.24,-1.102657
10.26,-1.102953
10.28,-1.109013
10.3,-1.105111
10.32,-1.109768
10.34,-1.113039
10.36,-1.113922
10.38,-1.106335
10.4,-1.110655
10.42,-1.10586
10.44,-1.110758
10.46,-1.106025
10.48,-1.111173
10.5,-1.106334
10.52,-1.111492
10.54,-1.10657
10.56,-1.111735
10.58,-1.106713
10.6,-1.111866
10.62,-1.1068
10.64,-1.111897
10.66,-1.106742
10.68,-1.111863
10.7,-1.106579
10.72,-1.107117
10.74,-1.106395
10.76,-1.106395
10.78,-1.10618
10.8,-1.106057
10.82,-1.105892
10.84,-1.105731
10.86,-1.108528
10.88,-1.110081
10.9,-1.110521
10.92,-1.110631
10.94,-1.110665
10.96,-1.110676
10.98,-1.110668
11,-1.110676
11.02,-1.110676
11.04,-1.110668
11.06,-1.110676
11.08,-1.110676
11.1,-1.110668
11.12,-1.110676
11.14,-1.110676
11.16,-1.110668
11.18,-1.110676
11.2,-1.110676
11.22,-1.110668
11.24,-1.110676
11.26,-1.110676
11.28,-1.110668
11.3,-1.110676
11.32,-1.110676
11.34,-1.110668
11.36,-1.110676
11.38,-1.110676
11.4,-1.110668
11.42,-1.110676
11.44,-1.110676
11.46,-1.110668
11.48,-1.110676
11.5,-1.110676
11.52,-1.110668
11.54,-1.110676
11.56,-1.110676
11.58,-1.110668
11.6,-1.110676
11.62,-1.110676
11.64,-1.110668
11.66,-1.110676
11.68,-1.110676
11.7,-1.110668
11.72,-1.110676
11.74,-1.110676
11.76,-1.110668
11.78,-1.110676
11.8,-1.110676
11.82,-1.110668
11.84,-1.110676
11.86,-1.110676
11.88,-1.110668
11.9,-1.110676
11.92,-1.110676
11.94,-1.110668
11.96,-1.110676
11.98,-1.110676
12,-1.110668
12.02,-1.110676
12.04,-1.110676
12.06,-1.110668
12.08,-1.110676
12.1,-1.110676
12.12,-1.110668
12.14,-1.110676
12.16,-1.110676
12.18,-1.110668
12.2,-1.110676
12.22,-1.110676
12.24,-1.110668
12.26,-1.110676
12.28,-1.110676
12.3,-1.110668
12.32,-1.110676
12.34,-1.110676
12.36,-1.110668
12.38,-1.110676
12.4,-1.110676
12.42,-1.110668
12.44,-1.110676
12.46,-1.110676
12.48,-1.110668
12.5,-1.110676
12.52,-1.110676
12.54,-1.110668
12.56,-1.110676
12.58,-1.110676
12.6,-1.110668
